d;l;S;j;*;Eriadu;NA;Parsec: 1;Planet;0;If you control, Force drain +1 here;1;Tarkin deploys free here. If you control, all Imperials with ability > 2 on table are forfeit +2.
l;c;a;j;*;Han;NA;1;P:2 A:2 D:4 F:3;;Pilot;Corellian. Graduated with honors from the Imperial Academy. Dishonorably discharged. Wanders the galaxy building a reputation as a {gambler} and a hot-shot pilot.;
l;c;r;j;*;Leia;NA;1;P:2 A:2 D:4 F:3;;;Adopted daughter of the Viceroy and First Chairman of Alderaan. Became a political {leader} at a young age. The injustices of the New Order led her to join the Rebellion.;
d;c;i;j;*;Motti;NA;1;P:2 A:2 D:4 F:3;;Pilot;Considered an overrated {leader} by many subordinates. Has a disturbing lack of faith. Became a member of the Death Star's command triumvirate despite his failings.;
d;c;i;j;*;Tarkin;NA;1;P:2 A:2 D:4 F:3;;;Imperial Governor of the Seswenna Sector. Conceived and implemented the Death Star project. A {leader} in the effort to crush the Rebellion.;
l;c;a;j;*;Tedn Dahai;NA;3;P:1 A:1 D:2 F:4;;;Male Bith {musician}. Member in good standing of the Intergalactic Federation of Musicians. Plays the Fanfar in Figrin D'an's band. Once worked for the Empire as a {scout}.;For each other musician at same site, during any control phase you may use 1 Force to choose one opponent's alien present. That alien cannot utilize its game text for remainder of that turn.
d;e;e;j;*;Dark Forces;NA;4;"The ability to destroy a planet is insignificant next to the power of the Force.";Deploy on your side of table. When Surprise Assault is played, may use 1 Force to add one destiny to your total. Also, when Sense or Alter is played, may use X Force to exclude X Jedi from being the "highest-ability character."
l;e;e;j;*;For Luck;NA;4;Before swinging across the treacherous abyss, Leia gave Luke a kiss for luck. Despite an incessant storm of laserblasts, they made it.;Deploy on your side of table. When Counter Assault is played, may use 1 Force to add one destiny to your total. Also, when Sense or Alter is played, may use X Force to exclude X Jedi from being the "highest-ability character."
d;i;l;j;*;Gravity Shadow;NA;4;"Traveling through hyperspace ain't like dustin' crops, boy!" Gravititational phenomena cast shadows in hyperspace, posing a serious threat to lightspeed navigation.;If opponent's starship has just begun to move through hyperspace, draw destiny. If destiny > pilot's ability, starship must return to original location and may not move this turn. If destiny = pilot's ability, starship is lost.
l;v;s;j;*;Luke's T-16 Skyhopper;NA;4;P:2 M:5 L:* D:2 F:4;;;{Enclosed} vehicle used by Luke Skywalker for his early pilot training. Often raced with Biggs Darklighter through Beggar's Canyon.;Requires 1 pilot to use. May carry 1 passenger. May move as a 'react.' may 'bullseye' one Womp Rat per turn. *Landspeed = 4, OR 1 character may shuttle to or from same site for free.

##MISCELLANEOUS
##
##Hyperoute Navigation Chart
##0 Coruscant
##1 Corellia, Eriadu
##2 Alderaan, Kiffex, Bothuwui
##3 Ralltiir, Nal Hutta, Raithal
##4 Yavin*, Chandrila
##5 Hoth*, Anoat, Dantooine
##6 Bespin, Kashyyyk, Mon Calamari
##7 Tatooine, Sullust, Ord Mantell
##8 Endor, Kessel
##9 Dagobah
## *Known Rebel Base
