d;c;a;S;*;Chall Bekan;NA;2;P:2 A:3 D:4 F:4;Force-Attuned;Pilot, Warrior;Male Morseerian {leader}. Methane breather. Has ties to Tatooine's Imperial government. Uses alien agents to maintain surveillance on Jabba and the Rebellion.;When deployed, you may immediately search your Reserve Deck, take one non-unique alien into hand and reshuffle. Adds 2 to power of any starship he pilots. Your aliens deploy -1 to same or adjacent Tatooine site.
d;c;i;S;;Stormtrooper Cadet;NA;3;P:1 A:1 D:1 F:1;;;After months of intense training, a trooper is paired with a veteran soldier. While providing support during field operations, the new trooper masters Imperial military tactics.;Deploys free to same site as an Imperial leader. Adds 1 to power of one non-unique Imperial warrior present. When forfeited at same site as an Imperial 'veteran' (a leader or non-cadet trooper), also satisfies all remaining attrition against you.
d;e;e;S;*;Forced Servitude;NA;4;The Empire often uses droids for nefarious purposes. Imperials compel droids to do jobs that are repugnant to humans. An automaton has no ethical conscience.;Deploy on an opponent's location. Whenever you lose a droid from hand or Life Force, it satisfies Force loss up to its forfeit value. Once per turn, you may play Imperial Code Cylinder to cancel a Force drain where you have a droid. Effect canceled if opponent controls this location.
d;i;o;S;*;Tarkin's Orders;NA;4;"Put all sections on alert!";USED: Cancel a Force drain at a site related to a system you control. LOST: Cancel Surprise Assault, It Could Be Worse, Nabrun Leids, Collision! or Hyper Escape. OR Lose 1 Force to search your Lost Pile and take one non-unique starfighter into hand.
d;l;S;S;*;Corulag;NA;Planet;Parsec: 4;1;If you control, Force drain -1 here.;2;If you control, all non-unique Imperials are power and forfeit +1 and Imperial trooper guards may move.
d;l;s;S;*;Tatooine: Tusken Canyon;NA;;Exterior, Planet;1;;1;If you control, Force drain +1 here (+2 if a Gaderffi Stick is present).
d;s;c;S;;Dreadnaught-Class Heavy Cruiser;NA;3;P:5 R:4 H:3 D:5 F:5;Dreadnaught-Class Heavy Cruiser;Scomp Link, Pilot x 2, Astromech;Introduced during the Clone Wars. 600 meters long. Some have cargo space converted to TIE hanger bays. Still used to maintain an Imperial presence in the Outer Rim.;May add 3 pilots, 6 passengers and 4 TIEs. Has ship-docking capability. Permanent pilots aboard provide total ability of 2. Turbolaser Battery may deploy here. Your TIEs present are each power +1.
d;s;f;S;***;Black Squadron TIE;NA;2;P:1 M:3 D:4 F:4;TIE/ln;Pilot;Part of Vader's hand-picked squadron stationed at the Death Star. Boasts the latest in Imperial weaponry. Each pilot and starfighter is at the peak of readiness;Deploy -2 to same location as Darth Vader or at Death Star. Permanent pilot aboard provides ability of 2 and adds 2 to power. Adds 1 to its weapon destiny draws.
d;s;f;S;***;Obsidian Squadron TIE;NA;2;P:1 M:3 D:4 F:4;TIE/ln;Pilot;Modified TIE fighter. Specifically adapted for atmospheric engagement. Some are fitted with high-output solar panels to support improved weaponry.;Deploy -1 at any cloud sector. Permanent pilot aboard provides ability of 2 and adds 2 to power. Power +2 at non-unique cloud sectors. Boosted TIE Cannon may deploy here and fires free here.
l;c;a;S;*;Arleil Schous;NA;2;P:1 A:3 D:4 F:5;Force-Attuned;Pilot, Warrior;One of the Rebellion's main contacts on Tatooine. Widely regarded as a {leader} in the Mos Eisley alien community. Aging male Defel. Has lost the ability to warp light.;When deployed, you may immediately search your Reserve Deck, take one non-unique alien into hand and reshuffle. Adds 2 to power of any starship he pilots. Your aliens deploy -1 to same or adjacent Tatooine site.
l;c;r;S;;Rebel Trooper Recruit;NA;3;P:1 A:1 D:1 F:1;;;New Rebel troopers gain invaluable experience while acting as support for seasoned troops. The Alliance prefers to assign rookies to soldiers on a one-to-one basis.;Deploys free to same site as an Rebel leader. Adds 1 to power of one non-unique Rebel warrior present. When forfeited at same site as a Rebel 'veteran' (a leader or non-cadet trooper), also satisfies all remaining attrition against you.
l;e;e;S;*;Faithful Service;NA;4;Unlike the Empire, the Alliance treats their droids with respect. Many droids volunteered to share the risk of battle and aid the Rebellion's assault on the Death Star.;Deploy on an opponent's location. Whenever you lose a droid from hand or Life Force, it satisfies Force loss up to its forfeit value. Once per turn, you may play Scomp Link Access to cancel a Force drain where you have a droid. Effect canceled if opponent controls this location.
